"Respondent ID","Start Date","EndDate","IP Address","Country Code","Country Name","State","gender",,"withFamily","age","howDidYouHearAboutThis","howDidYouHearAboutThis1","whatDrewYou","whatDrewYou1","howYouArrive","howYouArrive1","parkingGood","whereLive","whereLive1","wantHappenAgain","spendMoreTimeIfTrafficFree","howMuchSpendingToday","learnAboutNewBusinesses","suggestionsComments","enterRaffleFamilyCycling","likeContactAbout","Type","Platform","Agent","Referrer"
86461890,"2014-04-24 02:03:55","2014-04-24 02:13:52","63.249.68.14","US","United States","California",,,,,,,,,"Car",,,,,,,,,,"Yes","Open Streets updates and future events| Volunteer opportunities| Making a donation","Browser| Direct","Mac OS X 10.7","Chrome 0.0","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88415909,"2014-05-05 02:33:29","2014-05-05 02:34:57","70.211.73.194","US","United States","California","Female",,3,"18-40","Newspaper Article",,"Free activities| music & info booths",,"Walk",,,"I live outside of the county",,"Yes","Yes","$51-100","Yes",,"Yes","No thanks","Mobile Device| Direct","iOS 7.1","iPhone","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88427195,"2014-05-05 04:13:36","2014-05-05 04:15:50","63.249.111.93","US","United States","California","Male",,,"63+",,,,,,,,,,,,,,,"Yes","No thanks","Browser| Direct",,,"http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88433547,"2014-05-05 05:11:55","2014-05-05 05:15:18","76.212.12.78","US","United States","California","Male",,"I did not come with my family","63+","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Bike",,,"Pleasure Point",,"Yes","Yes","$26-50","Yes","It would be a great if this could be permanenet.....!!","Yes","Open Streets updates and future events","Browser| Direct",,,"http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88434066,"2014-05-05 05:16:15","2014-05-05 05:20:32","74.220.72.142","US","United States","California","Male",,2,"63+","Word of Mouth","Performed with Sons of The Beach (ukulele)","Free activities| music & info booths| Community and family  fun","meet other folks","Walk",,,,"friend lives in Capitola","Yes","Yes","I have not and will not be spending money at the Capitola Village today","Yes","Street vendor always welcome","Yes","Open Streets updates and future events","Browser| Direct","Windows 8","Chrome 21.0","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88449454,"2014-05-05 07:59:05","2014-05-05 08:00:32","50.131.192.40","US","United States","California","Female",,4,"41-62","Email/Web",,"Closed road for walking| bicycling & playing| Community and family  fun",,"Car",,"Yes","San Lorenzo Valley",,"Yes","Yes","$11-25","Yes",,"No","No thanks","Mobile Device| Direct","iOS 6.1","iPad","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88449820,"2014-05-05 08:02:23","2014-05-05 08:06:01","66.215.62.144","US","United States","California","Male",,"5+","41-62",,"nbms middle school",,"curiosity","Walk",,,"Capitola",,"No","No","$11-25","No","more concessions and entertainment","No","Open Streets updates and future events| No thanks","Browser| Direct","Linux","Safari 0.0","http://surveys.civinomics.com/open-streets-capitola-participant-survey-questions"
88462126,"2014-05-05 03:31:13","2014-05-05 03:31:13","63.249.68.13","US","United States","California","Female",,2,"18-40","Newspaper Article| Facebook| Email/Web| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Shopping & Dining",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25","No","more often","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462128,"2014-05-05 03:36:45","2014-05-05 03:36:45","63.249.68.13","US","United States","California","Male",,1,"41-62","Newspaper Article| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Walk",,,"Live Oak",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462129,"2014-05-05 03:39:00","2014-05-05 03:39:00","63.249.68.13","US","United States","California","Male",,2,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Car",,"Yes","Santa Cruz",,"Yes","No","$26-50","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462130,"2014-05-05 03:45:19","2014-05-05 03:45:19","63.249.68.13","US","United States","California","Female",,1,"63+","Poster/Flier",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$11-25","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462131,"2014-05-05 03:48:21","2014-05-05 03:48:21","63.249.68.13","US","United States","California","Male",,2,"18-40","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Public Transit",,,"Santa Cruz",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462134,"2014-05-05 03:50:58","2014-05-05 03:50:58","63.249.68.13","US","United States","California","Male",,1,"63+","Word of Mouth",,"Closed road for walking| bicycling & playing| Community and family  fun| Shopping & Dining",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25","No",,"Yes","Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462135,"2014-05-05 03:53:09","2014-05-05 03:53:09","63.249.68.13","US","United States","California","Male",,2,"41-62","Word of Mouth| Poster/Flier",,"Free activities| music & info booths| Community and family  fun",,"Bike",,,"Aptos/Rio Del Mar",,"Yes","Yes","$26-50","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462136,"2014-05-05 03:57:27","2014-05-05 03:57:27","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62",,"bike to work week schedule of events","Closed road for walking| bicycling & playing",,"Bike",,,"Live Oak",,"Yes","Yes","$11-25",,,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462137,"2014-05-05 04:01:09","2014-05-05 04:01:09","63.249.68.13","US","United States","California","Female",,2,"41-62","Newspaper Article| Word of Mouth| Good Times ad",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","No","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462138,"2014-05-05 04:04:14","2014-05-05 04:04:14","63.249.68.13","US","United States","California","Female",,4,"18-40","I just happened upon it",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462139,"2014-05-05 04:07:23","2014-05-05 04:07:23","63.249.68.13","US","United States","California","Female",,2,"41-62",,"live here","Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$100+","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462142,"2014-05-05 04:11:45","2014-05-05 04:11:45","63.249.68.13","US","United States","California","Male",,2,"41-62","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Soquel",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462143,"2014-05-05 04:15:50","2014-05-05 04:15:50","63.249.68.13","US","United States","California","Female",,1,"18-40","I just happened upon it",,,"heard it from outside my window","Walk",,,"Capitola",,"Yes","Yes","$11-25","No","more booths","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462144,"2014-05-05 04:18:06","2014-05-05 04:18:06","63.249.68.13","US","United States","California","Female",,2,"18-40","Newspaper Article| Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Walk",,,"Capitola",,"Yes","Yes","$26-50","Yes","no","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462145,"2014-05-05 04:20:16","2014-05-05 04:20:16","63.249.68.13","US","United States","California","Male",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$26-50","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462146,"2014-05-05 04:26:20","2014-05-05 04:26:20","63.249.68.13","US","United States","California","Male",,1,"41-62","Poster/Flier| Good Times ad| I just happened upon it",,"Free activities| music & info booths| Community and family  fun",,"Walk",,,"Soquel",,"Yes","Yes","$11-25","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462147,"2014-05-05 04:29:27","2014-05-05 04:29:27","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Good Times ad",,"Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes","greatjob to all","Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462148,"2014-05-05 04:30:44","2014-05-05 04:30:44","63.249.68.13","US","United States","California","Male",,"5+","18-40","Poster/Flier",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,,"san jose","Yes","Yes","$51-100","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462149,"2014-05-05 04:31:45","2014-05-05 04:31:45","63.249.68.13","US","United States","California","Male",,"5+","0-17","Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,,"san jose","Yes","Yes","$1-10","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462151,"2014-05-05 04:34:44","2014-05-05 04:34:44","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Word of Mouth",,"Community and family  fun",,"Walk",,,,,"Yes","Yes","$26-50","No","no","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462153,"2014-05-05 04:36:33","2014-05-05 04:36:33","63.249.68.13","US","United States","California","Female",,2,"41-62","Email/Web",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Bike",,,"Santa Cruz",,"Yes","Yes","$1-10","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462154,"2014-05-05 04:44:07","2014-05-05 04:44:07","63.249.68.13","US","United States","California","Female",,"I did not come with my family","63+","Newspaper Article| Poster/Flier| Good Times ad",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun| Shopping & Dining",,"Bike",,,"Soquel",,"Yes","Yes","$51-100","Yes","include more booths. businesses should bring some of their merchandise outside for sale.   ","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462155,"2014-05-05 04:46:07","2014-05-05 04:46:07","63.249.68.13","US","United States","California","Female",,"I did not come with my family","18-40","Email/Web",,"Free activities| music & info booths",,"Car",,"Yes","Santa Cruz",,"Yes","Yes","$11-25","No","would like to see it on west cliff again","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462156,"2014-05-05 04:48:28","2014-05-05 04:48:28","63.249.68.13","US","United States","California","Male",,1,"18-40","Newspaper Article",,"Closed road for walking| bicycling & playing| Community and family  fun",,"Bike",,,"Capitola",,"Yes","Yes","$11-25","No",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462158,"2014-05-05 04:52:01","2014-05-05 04:52:01","63.249.68.13","US","United States","California","Male",,1,"63+","Newspaper Article",,"Free activities| music & info booths",,"Walk",,,"Capitola",,"Yes","No","$51-100","No",,"No","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462159,"2014-05-05 04:56:03","2014-05-05 04:56:03","63.249.68.13","US","United States","California","Male",,1,"41-62","Poster/Flier",,"Free activities| music & info booths",,"Car",,"Yes","Santa Cruz",,"Yes","No","$26-50","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462160,"2014-05-05 04:59:40","2014-05-05 04:59:40","63.249.68.13","US","United States","California","Male",,4,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Car",,"Yes","Soquel",,"Yes","Yes","$1-10","No","do it more often. great for kids","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462161,"2014-05-05 05:02:11","2014-05-05 05:02:11","63.249.68.13","US","United States","California","Female",,4,"41-62","Email/Web",,"Closed road for walking| bicycling & playing",,"Bike",,,"Santa Cruz",,"Yes","Yes","$11-25","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462162,"2014-05-05 05:07:07","2014-05-05 05:07:07","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Word of Mouth| Email/Web",,"Closed road for walking| bicycling & playing| Free activities| music & info booths",,"Bike",,,"Santa Cruz",,"Yes","Yes","$26-50","Yes",,"Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462163,"2014-05-05 05:09:18","2014-05-05 05:09:18","63.249.68.13","US","United States","California","Female",,1,"18-40",,"ksco","Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","I have not and will not be spending money at the Capitola Village today","No","more activities","Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462164,"2014-05-05 05:11:33","2014-05-05 05:11:33","63.249.68.13","US","United States","California","Male",,2,"41-62","Newspaper Article",,"Closed road for walking| bicycling & playing",,"Walk",,,"Capitola",,"Yes","Yes","$11-25","No",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462165,"2014-05-05 05:17:14","2014-05-05 05:17:14","63.249.68.13","US","United States","California","Male",,1,"41-62","I just happened upon it",,"Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$1-10","No","close this part of the esplanade to traffic more often","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462166,"2014-05-05 05:21:44","2014-05-05 05:21:44","63.249.68.13","US","United States","California","Female",,"I did not come with my family","41-62","Newspaper Article| Word of Mouth",,"Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,,"No","$1-10","No","consider slightly different foot print Bike Rodeo great!","Yes","Open Streets updates and future events| Volunteer opportunities","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462167,"2014-05-05 05:25:50","2014-05-05 05:25:50","63.249.68.13","US","United States","California","Male",,3,"41-62",,"nbms announcement","Closed road for walking| bicycling & playing| Free activities| music & info booths| Community and family  fun",,"Walk",,,"Capitola",,"Yes","Yes","$11-25","No","people should walk bikes inside the esplenade","Yes","No thanks","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462169,"2014-05-05 05:29:24","2014-05-05 05:29:24","63.249.68.13","US","United States","California","Female",,3,"41-62","Poster/Flier",,"Closed road for walking| bicycling & playing",,"Bike",,,"Soquel",,"Yes","Yes","$11-25","Yes",,"Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
88462170,"2014-05-05 05:35:52","2014-05-05 05:35:52","63.249.68.13","US","United States","California","Female",,2,"18-40",,"new brighton middle school","Community and family  fun",,"Bike",,,"Capitola",,"Yes","Yes","$26-50","Yes","more booths","Yes","Open Streets updates and future events","Mobile App| Direct","iOS 7.0.2","iPad 1.6",
