"Respondent ID","Start Date","EndDate","IP Address","Country Code","Country Name","State","heardOfBagBans","impressionOfBagBans",,"proposedBagBan","voteInFavor","includeFeeVoteYes","bagsFoundDecreased","trenchHasBags","carmelDoesntFee","highCostsPlasticBags","everyOtherCityFees","commentsOrSuggestions","howLongInSC","rentOrOwn","zip","childrenInHome","localMerchant","ageLower","whatYearBorn","gender","contactMeFor","Interviewers Name",,"Type","Platform","Agent","Referrer",,,
53914022,"2013-09-10 09:42:33","2013-09-10 09:42:33","174.234.1.149","US","United States","Arizona","Yes","No opinion.",,"No","Probably yes","Probably yes","Much more likely to support a ban","Somewhat more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"11-15 years",,95066,"Yes","No",40,"1973-1969 (age 40-44)","Male","I would like to receive a one-time link to the community forum on this topic",,"Mike","G",,,"Jim laske","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53914028,"2013-09-10 09:57:53","2013-09-10 09:57:53","174.234.1.149","US","United States","Arizona","Yes","They've had a positive impact.",,"No","Probably yes","Probably yes","Much more likely to support a ban","Much more likely to support a ban","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"16-20 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,,"Jim laske","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53914031,"2013-09-10 10:05:54","2013-09-10 10:05:54","174.234.1.149","US","United States","Arizona","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Don't know/ Not applicable","Don't know/ Not applicable","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee","Makes no difference",,"11-15 years","Own",95066,"No","No",60,"1953-1949 (age 60-64)","Male","I would not like to be contacted",,,,,,"Jim laske","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53914037,"2013-09-10 10:19:35","2013-09-10 10:19:35","174.234.1.149","US","United States","Arizona","Yes","They've had little to no impact.",,"Yes","Probably yes","Probably no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Somewhat more likely to support a $0.10 fee","Somewhat more likely to support a $0.10 fee",,"more than 20 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Female","I would like to receive a one-time link to the community forum on this topic",,"Gillian","Mcglaze",,,"Jim laske","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53914042,"2013-09-10 10:31:28","2013-09-10 10:31:28","174.234.1.149","US","United States","Arizona","Yes","They've had a positive impact.",,"No","Definitely yes","Definitely yes","Much more likely to support a ban","Much more likely to support a ban","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Much more likely to support a $0.10 fee","Definitely do the ban  ","11-15 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Female","I would not like to be contacted",,,,,,"Jim laske","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53914046,"2013-09-10 11:13:08","2013-09-10 11:13:08","174.234.1.149","US","United States","Arizona","Yes","They've had little to no impact.",,"Yes","Probably yes","Probably no","Much more likely to support a ban","Much more likely to support a ban","Makes no difference","Makes no difference","Makes no difference","Stop tying plastic ban and fee for paper.  Survey is biased and should include a negative response regarding paper bag fees instead of no difference.  ","6-10 years","Own",95066,"Yes","No",50,"1963-1959 (age 50-54)","Male","I would not like to be contacted",,,,,,"Jim laske","Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53231420,"2013-09-05 07:51:40","2013-09-05 07:51:40","70.197.6.5","US","United States","California",,,,"No","Probably no","Definitely no","Somewhat more likely to support a ban","Much more likely to support a ban","Makes no difference","Somewhat more likely to support a $0.10 fee","Makes no difference",,"5 years or less","Rent",,"No","No",25,"1988-1984 (age 25-29)","Male","I would like to volunteer with Save Our Shores",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53231464,"2013-09-05 07:51:44","2013-09-05 07:51:44","70.197.1.172","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53231467,"2013-09-05 07:56:18","2013-09-05 07:56:18","70.197.1.172","US","United States","California",,,,,,,,,,,,,,,,,,0,,,,,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
53320767,"2013-09-05 09:10:20","2013-09-05 09:10:20","70.197.6.5","US","United States","California","Yes","No opinion.",,"No","Probably no","Probably no","Somewhat more likely to support a ban","Somewhat more likely to support a ban","Makes no difference","Makes no difference","Makes no difference",,"11-15 years","Own",95066,"No","No",45,"1968-1964 (age 45-49)","Male","I would not like to be contacted",,,,,,,"Mobile App, Direct","iOS 6.1.3","iPad 1.6"
