id,start,end,commuteDuration,travelType,commuteActivity,employmentType,employmentType_og,employmentDuration,employmentLevel,salary,whyCommute,whyLiveHere,collegeInSantaCruz,collegeWhere,residenceDuration,workedInSantaCruz,whyNoWorkInSantaCruz,whatSalaryNeeded,heardOfStartupNewsHere,consideredJobsInSantaCruz,techEventsInSantaCruz,attendTechEvents,maritalStatus,children,rentOrOwn,age,commentsOrSuggestions,continuedInvolvement
70648544,2/12/14 9:38,2/12/14 9:38,90,Company bus,Work with WiFi,Software Developer,Software Developer,3,Team Member,150000,Salary and stock compensation,Lifestyle,No,No,1,No,(blank),Equivalent,Nothing,Yes,Have not attended an event,(blank),Married,No,Rent,0,(blank),(blank)
70648604,2/12/14 9:38,2/12/14 9:38,45,Company bus,Work with WiFi,Marketing,Marketing and Social Media,3,Team Member,100000,Company of interest,Lifestyle,No,No,2,No,(blank),Better,Nothing,No,Have not attended an event,(blank),Married,Yes,Rent,39,(blank),No thanks
70648605,2/12/14 11:50,2/12/14 11:50,120,Company bus,Work with WiFi,Software Developer,Software Developer,1,Team Member,150000,Salary and stock compensation,Lifestyle,No,No,1,No,(blank),Better,Nothing,No but I will now that you mention it,Have not attended an event,(blank),Domestic Partner,No,Rent,24,(blank),The results of this survey when they are made public
70680440,2/12/14 23:38,2/12/14 23:38,120,Company bus,Work with WiFi,Software Developer,Software Developer,2,Team Manager,150000,Company of interest,Lifestyle,No,No,2,No,(blank),Better,Some,No,Have not attended an event,(blank),Married,No,Rent,34,(blank),No thanks
70703719,2/12/14 23:45,2/12/14 23:45,120,Company bus,Personal activities with WiFi,Software Developer,UI / UX,5,Team Member,250000,Company of interest,Lifestyle,No,No,6,No,(blank),Equivalent,Nothing,No,Have not attended an event,(blank),Married,Yes,Own,39,(blank),No thanks
70703721,2/12/14 23:49,2/12/14 23:49,90,Company bus,Work with WiFi,Engineering (other),Support Engineer,6,Team Member,100000,Career progression,Community,No,No,2,No,(blank),Within 90%,Some,Yes,Have not attended an event,(blank),Married,No,Rent,34,(blank),The results of this survey when they are made public
70703722,2/12/14 23:51,2/12/14 23:51,180,Company bus,Work with WiFi,Design,Designer,1,Independent Contractor,100000,(blank),(blank),(blank),No,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),0,(blank),(blank)
70703723,2/13/14 0:28,2/13/14 0:28,150,Company bus,Work with WiFi,Software Developer,Software Developer,2,Team Member,150000,(blank),(blank),(blank),No,0,(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),(blank),0,(blank),(blank)
70703798,2/12/14 23:48,2/12/14 23:48,180,Company bus,Personal activities with WiFi,Software Developer,Software Developer,3,Independent Contractor,75000,Company of interest,Lifestyle,No,No,2,No,(blank),Better,Nothing,Yes,Have not attended an event,(blank),Single,No,Rent,70,(blank),No thanks
70703799,2/12/14 23:51,2/12/14 23:51,180,Company bus,Personal activities with WiFi,Operations,Operations,4,Team Member,100000,Immigrated,Lifestyle,No,No,2,No,(blank),Within 90%,Nothing,No,Have not attended an event,(blank),Single,(blank),(blank),0,(blank),(blank)
